Image_Metadata_Well,CNfrac_akt.ncells,CNfrac_akt.mn,CNfrac_akt.sd,comp.conc,well.type,Col,Row,npi,zscore
A001,174,1.07976,0.266869,A1_10uM,compound,1,A,0.984319,0.449979
A002,338,1.11507,0.298187,A2_10uM,compound,2,A,1.05724,0.832046
A003,131,1.10851,0.288105,A3_10uM,compound,3,A,1.0437,0.761102
A004,172,1.09784,0.272079,A4_10uM,compound,4,A,1.02166,0.645631
A005,199,1.13984,0.290544,A5_10uM,compound,5,A,1.10839,1.10005
A006,340,1.09973,0.257825,A6_10uM,compound,6,A,1.02556,0.666048
A007,222,0.952222,0.272167,A7_10uM,compound,7,A,0.720892,-0.930218
A008,281,1.08216,0.306553,A8_10uM,compound,8,A,0.989262,0.475876
A009,265,1.04197,0.264957,A9_10uM,compound,9,A,0.90626,0.0409961
A010,229,1.10692,0.277022,A10_10uM,compound,10,A,1.04041,0.743875
A011,240,1.03859,0.274156,A11_10uM,compound,11,A,0.899284,0.00444997
A012,308,1.1031,0.278239,A12_10uM,compound,12,A,1.03251,0.70247
A013,167,1.09449,0.296344,A13_10uM,compound,13,A,1.01473,0.609327
A014,354,1.09478,0.280032,A14_10uM,compound,14,A,1.01534,0.61249
A015,229,1.04558,0.286233,A15_10uM,compound,15,A,0.913707,0.0800182
A016,258,1.07899,0.272801,A16_10uM,compound,16,A,0.982727,0.441641
A017,255,0.851256,0.238759,A17_10uM,compound,17,A,0.512356,-2.02282
A018,328,0.979919,0.293403,A18_10uM,compound,18,A,0.778099,-0.630486
A019,322,1.04114,0.291887,A19_10uM,compound,19,A,0.904535,0.0319628
A020,267,1.02611,0.282208,A20_10uM,compound,20,A,0.873503,-0.130627
A021,396,1.05115,0.286965,A21_10uM,compound,21,A,0.925221,0.140343
A022,319,1.01975,0.284409,A22_10uM,compound,22,A,0.860369,-0.199444
A023,148,0.616521,0.193863,GDC0941_1uM,pos.akt,23,A,0.0275343,-4.56299
A024,238,1.03539,0.28748,DMSO_1E-3,neg,24,A,0.892675,-0.0301777
B001,92,1.13623,0.313524,B1_10uM,compound,1,B,1.10093,1.06098
B002,252,1.10781,0.278623,B2_10uM,compound,2,B,1.04224,0.753439
B003,66,1.12913,0.268312,B3_10uM,compound,3,B,1.08629,0.984245
B004,189,0.90384,0.270328,B4_10uM,compound,4,B,0.620965,-1.45378
B005,153,1.18397,0.269419,B5_10uM,compound,5,B,1.19954,1.57762
B006,138,1.00954,0.261686,B6_10uM,compound,6,B,0.839277,-0.309951
B007,216,0.943437,0.27351,B7_10uM,compound,7,B,0.702749,-1.02528
B008,172,1.04318,0.280303,B8_10uM,compound,8,B,0.908768,0.0541407
B009,185,1.08127,0.248957,B9_10uM,compound,9,B,0.987439,0.466326
B010,238,0.91304,0.268484,B10_10uM,compound,10,B,0.639967,-1.35422
B011,204,1.12306,0.255835,B11_10uM,compound,11,B,1.07374,0.918474
B012,217,1.05614,0.275733,B12_10uM,compound,12,B,0.93553,0.194355
B013,297,0.926526,0.258029,B13_10uM,compound,13,B,0.66782,-1.20828
B014,191,1.04629,0.304122,B14_10uM,compound,14,B,0.915173,0.0876968
B015,222,1.13045,0.29125,B15_10uM,compound,15,B,1.08901,0.998474
B016,231,1.09868,0.267571,B16_10uM,compound,16,B,1.02339,0.654674
B017,290,0.955316,0.265102,B17_10uM,compound,17,B,0.727283,-0.896731
B018,148,1.04689,0.269709,B18_10uM,compound,18,B,0.916421,0.0942355
B019,310,0.872759,0.233953,B19_10uM,compound,19,B,0.55677,-1.79012
B020,191,1.03279,0.27479,B20_10uM,compound,20,B,0.887303,-0.0583248
B021,191,0.954932,0.289452,B21_10uM,compound,21,B,0.726491,-0.900883
B022,153,1.01143,0.283377,B22_10uM,compound,22,B,0.843185,-0.289476
B023,142,0.6179,0.186003,GDC0941_1uM,pos.akt,23,B,0.0303818,-4.54807
